height time diff diffRatio interval total mean
1 1566152920 2.384149979653205e-07 1.000  0 0 0
2 1566153015 2.384149979653205e-07 1.000 95 95 47.50
3 1566153023 2.384149979653205e-07 1.000  8 103 34.33
4 1566153023 2.384149979653205e-07 1.000  0 103 25.75
5 1566153025 2.384149979653205e-07 1.000  2 105 21.00
6 1566153030 2.384149979653205e-07 1.000  5 110 18.33
7 1566153031 2.384149979653205e-07 1.000  1 111 15.85
8 1566153033 2.384149979653205e-07 1.000  2 113 14.12
9 1566153035 2.384149979653205e-07 1.000  2 115 12.77
10 1566153035 2.384149979653205e-07 1.000  0 115 11.50
11 1566153036 2.384149979653205e-07 1.000  1 116 10.54
12 1566153039 2.384149979653205e-07 1.000  3 119 9.91
13 1566153042 2.384149979653205e-07 1.000  3 122 9.38
14 1566153047 2.384149979653205e-07 1.000  5 127 9.07
15 1566153049 2.384149979653205e-07 1.000  2 129 8.60
16 1566153051 2.384149979653205e-07 1.000  2 131 8.18
17 1566153053 2.384149979653205e-07 1.000  2 133 7.82
18 1566153055 2.384149979653205e-07 1.000  2 135 7.50
19 1566153061 2.384149979653205e-07 1.000  6 141 7.42
20 1566153067 2.384149979653205e-07 1.000  6 147 7.35
21 1566153068 2.384149979653205e-07 1.000  1 148 7.04
22 1566153069 2.384149979653205e-07 1.000  1 149 6.77
23 1566153074 2.384149979653205e-07 1.000  5 154 6.69
24 1566153075 2.384149979653205e-07 1.000  1 155 6.45
25 1566153077 2.384149979653205e-07 1.000  2 157 6.28
26 1566153084 2.384149979653205e-07 1.000  7 164 6.30
27 1566153087 2.384149979653205e-07 1.000  3 167 6.18
28 1566153088 2.384149979653205e-07 1.000  1 168 6.00
29 1566153095 2.384149979653205e-07 1.000  7 175 6.03
30 1566153099 2.384149979653205e-07 1.000  4 179 5.96
31 1566153104 2.384149979653205e-07 1.000  5 184 5.93
32 1566153108 2.384149979653205e-07 1.000  4 188 5.87
33 1566153113 2.384149979653205e-07 1.000  5 193 5.84
34 1566153116 2.384149979653205e-07 1.000  3 196 5.76
35 1566153119 2.384149979653205e-07 1.000  3 199 5.68
36 1566153125 2.384149979653205e-07 1.000  6 205 5.69
37 1566153130 2.384149979653205e-07 1.000  5 210 5.67
38 1566153132 2.384149979653205e-07 1.000  2 212 5.57
39 1566153139 2.384149979653205e-07 1.000  7 219 5.61
40 1566153141 2.384149979653205e-07 1.000  2 221 5.52
41 1566153141 2.384149979653205e-07 1.000  0 221 5.39
42 1566153141 2.384149979653205e-07 1.000  0 221 5.26
43 1566153142 2.384149979653205e-07 1.000  1 222 5.16
44 1566153146 2.384149979653205e-07 1.000  4 226 5.13
45 1566153147 2.384149979653205e-07 1.000  1 227 5.04
46 1566153150 2.384149979653205e-07 1.000  3 230 5.00
47 1566153154 2.384149979653205e-07 1.000  4 234 4.97
48 1566153158 2.384149979653205e-07 1.000  4 238 4.95
49 1566153165 2.384149979653205e-07 1.000  7 245 5.00
50 1566153167 2.384149979653205e-07 1.000  2 247 4.94
51 1566153167 2.384149979653205e-07 1.000  0 247 4.84
52 1566153168 2.384149979653205e-07 1.000  1 248 4.76
53 1566153169 2.384149979653205e-07 1.000  1 249 4.69
54 1566153170 2.384149979653205e-07 1.000  1 250 4.62
55 1566153171 2.384149979653205e-07 1.000  1 251 4.56
56 1566153172 2.384149979653205e-07 1.000  1 252 4.50
57 1566153173 2.384149979653205e-07 1.000  1 253 4.43
58 1566153173 2.384149979653205e-07 1.000  0 253 4.36
59 1566153175 2.384149979653205e-07 1.000  2 255 4.32
60 1566153177 2.384149979653205e-07 1.000  2 257 4.28
61 1566153178 2.384149979653205e-07 1.000  1 258 4.22
62 1566153181 2.384149979653205e-07 1.000  3 261 4.20
63 1566153182 2.384149979653205e-07 1.000  1 262 4.15
64 1566153183 2.384149979653205e-07 1.000  1 263 4.10
65 1566153184 2.384149979653205e-07 1.000  1 264 4.06
66 1566153185 2.384149979653205e-07 1.000  1 265 4.01
67 1566153191 2.384149979653205e-07 1.000  6 271 4.04
68 1566153193 2.384149979653205e-07 1.000  2 273 4.01
69 1566153194 2.384149979653205e-07 1.000  1 274 3.97
70 1566153200 2.384149979653205e-07 1.000  6 280 4.00
71 1566153203 2.384149979653205e-07 1.000  3 283 3.98
72 1566153204 2.384149979653205e-07 1.000  1 284 3.94
73 1566153205 2.384149979653205e-07 1.000  1 285 3.90
74 1566153210 2.384149979653205e-07 1.000  5 290 3.91
75 1566153210 2.384149979653205e-07 1.000  0 290 3.86
76 1566153215 2.384149979653205e-07 1.000  5 295 3.88
77 1566153216 2.384149979653205e-07 1.000  1 296 3.84
78 1566153218 2.384149979653205e-07 1.000  2 298 3.82
79 1566153225 2.384149979653205e-07 1.000  7 305 3.86
80 1566153228 2.384149979653205e-07 1.000  3 308 3.85
81 1566153231 2.384149979653205e-07 1.000  3 311 3.83
82 1566153232 2.384149979653205e-07 1.000  1 312 3.80
83 1566153232 2.384149979653205e-07 1.000  0 312 3.75
84 1566153242 2.384149979653205e-07 1.000 10 322 3.83
85 1566153243 2.384149979653205e-07 1.000  1 323 3.80
86 1566153247 2.384149979653205e-07 1.000  4 327 3.80
87 1566153249 2.384149979653205e-07 1.000  2 329 3.78
88 1566153250 2.384149979653205e-07 1.000  1 330 3.75
89 1566153250 2.384149979653205e-07 1.000  0 330 3.70
90 1566153256 2.384149979653205e-07 1.000  6 336 3.73
91 1566153260 2.384149979653205e-07 1.000  4 340 3.73
92 1566153262 2.384149979653205e-07 1.000  2 342 3.71
93 1566153262 2.384149979653205e-07 1.000  0 342 3.67
94 1566153263 2.384149979653205e-07 1.000  1 343 3.64
95 1566153265 2.384149979653205e-07 1.000  2 345 3.63
96 1566153266 2.384149979653205e-07 1.000  1 346 3.60
97 1566153266 2.384149979653205e-07 1.000  0 346 3.56
98 1566153269 2.384149979653205e-07 1.000  3 349 3.56
99 1566153270 2.384149979653205e-07 1.000  1 350 3.53
100 1566153271 2.384149979653205e-07 1.000  1 351 3.51
101 1566153274 2.384149979653205e-07 1.000  3 354 3.50
102 1566153274 2.384149979653205e-07 1.000  0 354 3.47
103 1566153275 2.384149979653205e-07 1.000  1 355 3.44
104 1566153280 2.384149979653205e-07 1.000  5 360 3.46
105 1566153288 2.384149979653205e-07 1.000  8 368 3.50
106 1566153291 2.384149979653205e-07 1.000  3 371 3.50
107 1566153292 2.384149979653205e-07 1.000  1 372 3.47
108 1566153297 2.384149979653205e-07 1.000  5 377 3.49
109 1566153297 2.384149979653205e-07 1.000  0 377 3.45
110 1566153298 2.384149979653205e-07 1.000  1 378 3.43
111 1566153305 2.384149979653205e-07 1.000  7 385 3.46
112 1566153308 2.384149979653205e-07 1.000  3 388 3.46
113 1566153309 2.384149979653205e-07 1.000  1 389 3.44
114 1566153311 2.384149979653205e-07 1.000  2 391 3.42
115 1566153312 2.384149979653205e-07 1.000  1 392 3.40
116 1566153317 2.384149979653205e-07 1.000  5 397 3.42
117 1566153320 2.384149979653205e-07 1.000  3 400 3.41
118 1566153329 2.384149979653205e-07 1.000  9 409 3.46
119 1566153332 2.384149979653205e-07 1.000  3 412 3.46
120 1566153333 2.384149979653205e-07 1.000  1 413 3.44
121 1566153333 2.384149979653205e-07 1.000  0 413 3.41
122 1566153334 2.384149979653205e-07 1.000  1 414 3.39
123 1566153334 2.384149979653205e-07 1.000  0 414 3.36
124 1566153335 2.384149979653205e-07 1.000  1 415 3.34
125 1566153338 2.384149979653205e-07 1.000  3 418 3.34
126 1566153339 2.384149979653205e-07 1.000  1 419 3.32
127 1566153342 2.384149979653205e-07 1.000  3 422 3.32
128 1566153343 2.384149979653205e-07 1.000  1 423 3.30
129 1566153352 2.384149979653205e-07 1.000  9 432 3.34
130 1566153354 2.384149979653205e-07 1.000  2 434 3.33
131 1566153358 2.384149979653205e-07 1.000  4 438 3.34
132 1566153362 2.384149979653205e-07 1.000  4 442 3.34
133 1566153362 2.384149979653205e-07 1.000  0 442 3.32
134 1566153363 2.384149979653205e-07 1.000  1 443 3.30
135 1566153368 2.384149979653205e-07 1.000  5 448 3.31
136 1566153372 2.384149979653205e-07 1.000  4 452 3.32
137 1566153372 2.384149979653205e-07 1.000  0 452 3.29
138 1566153378 2.384149979653205e-07 1.000  6 458 3.31
139 1566153380 2.384149979653205e-07 1.000  2 460 3.30
140 1566153393 2.384149979653205e-07 1.000 13 473 3.37
141 1566153395 2.384149979653205e-07 1.000  2 475 3.36
142 1566153398 2.384149979653205e-07 1.000  3 478 3.36
143 1566153399 2.384149979653205e-07 1.000  1 479 3.34
144 1566153402 2.384149979653205e-07 1.000  3 482 3.34
145 1566153404 2.384149979653205e-07 1.000  2 484 3.33
146 1566153405 2.384149979653205e-07 1.000  1 485 3.32
147 1566153409 2.384149979653205e-07 1.000  4 489 3.32
148 1566153410 2.384149979653205e-07 1.000  1 490 3.31
149 1566153413 2.384149979653205e-07 1.000  3 493 3.30
150 1566153418 2.384149979653205e-07 1.000  5 498 3.32
151 1566153418 2.384149979653205e-07 1.000  0 498 3.29
152 1566153419 2.384149979653205e-07 1.000  1 499 3.28
153 1566153420 2.384149979653205e-07 1.000  1 500 3.26
154 1566153431 2.384149979653205e-07 1.000 11 511 3.31
155 1566153432 2.384149979653205e-07 1.000  1 512 3.30
156 1566153434 2.384149979653205e-07 1.000  2 514 3.29
157 1566153434 2.384149979653205e-07 1.000  0 514 3.27
158 1566153435 2.384149979653205e-07 1.000  1 515 3.25
159 1566153438 2.384149979653205e-07 1.000  3 518 3.25
160 1566153439 2.384149979653205e-07 1.000  1 519 3.24
161 1566153446 2.384149979653205e-07 1.000  7 526 3.26
162 1566153448 2.384149979653205e-07 1.000  2 528 3.25
163 1566153449 2.384149979653205e-07 1.000  1 529 3.24
164 1566153454 2.384149979653205e-07 1.000  5 534 3.25
165 1566153455 2.384149979653205e-07 1.000  1 535 3.24
